h. vincent poor,5486
wei li,5031
wen gao 0001,4840
lei zhang,4810
wei zhang,4720
yu zhang,4705
yang liu,4664
philip s. yu,4643
nassir navab,4482
wei wang,4327
luca benini,4315
lei wang,4298
mohamed-slim alouini,4263
hai jin 0001,4245
dinggang shen,4164
zhu han,4143
daniel rueckert,4046
thomas s. huang,4016
dacheng tao,3996
xin wang,3950
lajos hanzo,3939
leonard barolli,3874
xin li,3732
victor c. m. leung,3728
yan li,3687
jiawei han 0001,3663
wei chen,3645
yi zhang,3621
li zhang,3619
jing wang,3603
paul m. thompson,3591
nadeem javaid,3589
yang li,3544
luc van gool,3482
jun wang,3447
wei liu,3408
jian wang,3407
sébastien ourselin,3404
mohsen guizani,3389
yan zhang,3376
jing li,3313
jing zhang,3270
licheng jiao,3264
yang yang,3224
shuicheng yan,3207
xi chen,3207
peng wang,3205
ying wang,3118
jie li,3073
ying li,3064
yoshua bengio,3028
hui li,2973
yan wang,2946
hao wang,2911
jing liu,2909
toshio fukuda,2905
li wang,2884
roland siegwart,2878
jun zhang,2852
ian t. foster,2835
fan yang,2834
bo li,2826
li li,2814
jie zhang,2813
jack j. dongarra,2792
xuemin shen,2784
tao wang,2753
xin zhang,2750
chao wang,2745
xin liu,2739
francky catthoor,2739
yong wang,2729
jun li,2720
arthur w. toga,2711
xuelong li,2690
yang zhang,2681
yong zhang,2681
yi wang,2676
qi tian 0001,2671
wei wu,2670
björn w. schuller,2657
makoto takizawa 0001,2648
ying zhang,2632
yu wang,2630
joel j. p. c. rodrigues,2595
radu timofte,2579
yang wang,2578
david t. blaauw,2576
filip de turck,2575
albert y. zomaya,2572
haizhou li 0001,2571
elisa bertino,2556
fan zhang,2555
robert schober,2543
piet demeester,2541
qingming huang,2540
rui zhang,2536
erik d. demaine,2530
bin li,2513
hao zhang,2484
