t. d. wilson 0001,348
ronald r. yager,346
robert l. glass,262
diane crawford,250
peter g. neumann,240
david alan grier,219
elena maceviciute,218
harold joseph highland,214
karl rihaczek,195
louis kruh,194
alex m. andrew,191
bill hancock,188
vladimir zwass,187
george v. neville-neil,179
irith pomeranz,179
vinton g. cerf,178
david eppstein,177
abdul-majid wazwaz,176
rik farrow,173
tony owen,170
edmond bianco,169
vladik kreinovich,169
david b. lomet,161
kimon p. valavanis,161
moshe y. vardi,160
vishwani d. agrawal,158
peter j. denning,154
stephen saxby,153
neri merhav,151
gilbert held,151
a. martin wildberger,150
greg goth,142
manfred broy,142
oded goldreich 0001,141
friedrich l. bauer,140
ichiro satoh,139
william i. gasarch,137
david bawden,134
helmut reimer,133
giuseppe riva,131
bertrand meyer 0001,128
daniel e. o'leary,126
lotfi a. zadeh,126
richard h. stern,126
jinho choi 0001,125
dirk fox,125
leo egghe,124
joseph o'rourke,123
ryotaro kamimura,123
witold pedrycz,120
hermann a. maurer,120
mike thelwall,119
linda dailey paulson,119
robert fox,118
yingxu wang,118
diomidis spinellis,117
gary singh,116
joseph y. halpern,116
hal berghel,115
ben shneiderman,113
harry m. sneed,112
maurice margenstern,111
wil m. p. van der aalst,110
newton lee,107
carsten thomassen,106
johann bizer,106
bruno courcelle,106
gerard salton,106
jon postel,105
w. neville holmes,103
loet leydesdorff,103
donald e. knuth,102
scott davidson,102
michael f. gorman,102
toshihiko yamakami,101
gunter dueck,101
arto salomaa,101
timothy m. chan,100
juha honkala,100
tom stewart,99
gheorghe paun,98
brenda k. wiederhold,98
nadia magnenat-thalmann,97
andrea gaggioli,97
judea pearl,96
peter damaschke,95
jitendra k. tugnait,95
shane greenstein,95
mark doernhoefer,94
iain d. craig,94
leslie lamport,94
won kim 0001,93
saharon shelah,93
stevo stevic,92
azriel rosenfeld,92
norihiro kamide,92
gary mcgraw,91
ramesh c. jain,91
alois potton,91
charles oppenheim,91
